Reference,Complete Reference
[22738] SAVKO K. A. (2019),"[22738] SAVKO K. A., SAMSONOV A. V., KHOLINA N. V., LARIONOV A. N., ZAITSEVA M. V., KORISH E. K., BAZIKOV N. S., TERENTIEV R. A.:    2.6 GA HIGH-SI RHYOLITES AND GRANITES IN THE KURSK DOMAIN, EASTERN SARMATIA: PETROLOGY AND APPLICATION FOR THE ARCHAEAN PALAEOCONTINENTAL CORRELATIONS    PREC. RESEARCH 322   [2019]  170-192    doi: 10.1016/j.precamres.2019.01.006"
[22767] KAY S. M. (2019),"[22767] KAY S. M., JICHA B. R., CITRON G. L., KAY R. W., TIBBETTS A. K., RIVERA T. A.:    THE CALC-ALKALINE HIDDEN BAY AND KAGALASKA PLUTONS AND THE CONSTRUCTION OF THE CENTRAL ALEUTIAN OCEANIC ARC CRUST    J. PETROL. 60   [2019]  393-49    GeoReM-id: 11837   doi: 10.1093/petrology/egy119"
[22969] CISNEROS DE LEON A. (2019),"[22969] CISNEROS DE LEON A., SCHMITT A. K.:    INTRUSIVE REAWAKENING OF EL CHICHON VOLCANO PRIOR TO ITS HOLOCENE ERUPTIVE HYPERACTIVITY    J. VOLCANOL. GEOTHERM. RES. 377   [2019]  53-68    doi: 10.1016/j.jvolgeores.2019.04.004"
[22995] SMITH W. D. (2019),"[22995] SMITH W. D., DARLING W. D., BULLEN D. S., LASALLE S., PEREIRA I., MOREIRA H., ALLEN C. J., TAPSTER S.:    ZIRCON PERSPECTIVES ON THE AGE AND ORIGIN OF EVOLVED S-TYPE GRANITES FROM THE CORNUBIAN BATHOLITH, SOUTHWEST ENGLAND    LITHOS 336-337   [2019]  14-26    doi: 10.1016/j.lithos.2019.03.025"
[22996] DOU JINGZHAO (2019),"[22996] DOU JINGZHAO, SIEBEL W., HE JIAN-FENG, CHEN FUKUN:    DIFFERENT MELTING CONDITIONS AND PETROGENESIS OF PERALUMINOUS GRANITES IN WESTERN QINLING, CHINA, AND TECTONIC IMPLICATIONS    LITHOS 336-337   [2019]  97-111    doi: 10.1016/j.lithos.2019.04.003"
[23058] JUAREZ-ZUNIGA S. (2019),"[23058] JUAREZ-ZUNIGA S., SOLARI L. A., ORTEGA-OBREGON C.:    ORDOVICIAN TO SILURIAN IGNEOUS ROCKS IN SOUTHERN MEXICO AND CENTRAL AMERICA: GEOCHRONOLOGIC AND ISOTOPIC CONSTRAINTS ON PALEOGEOGRAPHIC MODELS    J. S. AMER. EARTH SCI. 93   [2019]  462-479    doi: 10.1016/j.jsames.2019.04.023"
[23131] VILALVA F. C. J. (2019),"[23131] VILALVA F. C. J., SIMONETTI A., VLACH S. R. F.:    INSIGHTS ON THE ORIGIN OF THE GRACIOSA A-TYPE GRANITES AND SYENITES (SOUTHERN BRAZIL) FROM ZIRCON U-PB GEOCHRONOLOGY, CHEMISTRY, AND HF AND O ISOTOPE COMPOSITIONS    LITHOS 340-341   [2019]  20-33    GeoReM-id: 12132   doi: 10.1016/j.lithos.2019.05.001"
[23184] WANG XIN-SONG (2019),"[23184] WANG XIN-SONG, BI XIANWU, CHEN YOU-WEI, PAN LI-CHUAN, XU LEI-LUO:    CRYSTAL FRACTIONATION OF CONTAMINATED MELTS AND RE-MELTING OF NEWLY UNDERPLATED BASALTIC CRUST GENERATED LATE TRIASSIC ANDESITIC AND DIORITIC INTRUSIONS IN THE SOUTHERN YIDUN TERRANE, SW CHINA    LITHOS 342-343   [2019]  135-151    GeoReM-id: 12113   doi: 10.1016/j.lithos.2019.05.033"
[23188] JANOUSEK V. (2019),"[23188] JANOUSEK V., HOLUB F. V., VERNER K., COPJAKOVA R., GERDES A., HORA J. M., KOSLER J., TYRRELL S.:    TWO-PYROXENE SYENITOIDS FROM THE MOLDANUBIAN ZONE OF THE BOHEMIAN MASSIF: PECULIAR MAGMAS DERIVED FROM A STRONGLY ENRICHED LITHOSPHERIC MANTLE SOURCE    LITHOS 342-343   [2019]  239-262    doi: 10.1016/j.lithos.2019.05.028"
[23434] ELLIS B. S. (2019),"[23434] ELLIS B. S., SCHMITZ M. D., HILL M.:    RECONSTRUCTING A SNAKE RIVER PLAIN ‘SUPER-ERUPTION’ VIA COMPOSITIONAL FINGERPRINTING AND HIGH-PRECISION U/PB ZIRCON GEOCHRONOLOGY    CONTRIB. MINERAL. PETROL. 174 (101)  [2019]     doi: 10.1007/s00410-019-1641-z"
[23460] BANIK T. J. (2018),"[23460] BANIK T. J., MILLER C. F., FISHER C. M., COBLE M. A., VERVOORT J. D.:    MAGMATIC-TECTONIC CONTROL ON THE GENERATION OF SILICIC MAGMAS IN ICELAND: CONSTRAINTS FROM HAFNARFJALL-SKARÐSHEIÐI VOLCANO    LITHOS 318-319   [2018]  326-339    doi: 10.1016/j.lithos.2018.08.022"
[23693] LEVASHOVA E. V. (2020),"[23693] LEVASHOVA E. V., NOSKOV D. A., SKUBLOV S. G.:    TRACE ELEMENT GEOCHEMISTRY OF ZIRCONS FROM THE EARLY PALEOZOIC GRANITES OF THE ANGARA-VITIM BATHOLITH    GEOCHEM. INT. 58   [2020]  235-243    doi: 10.1134/S0016702920020068"
[23776] WANG JIAN (2020),"[23776] WANG JIAN, SU YUPING, ZHENG JIAN-PING, BELOUSOVA E. A., GRIFFIN W. L., ZHOU XIANG, DAI HONG-KUN:    HIDDEN EOARCHEAN CRUST IN THE SOUTHWESTERN CENTRAL ASIAN OROGENIC BELT    LITHOS 360-361 (105437)  [2020]     doi: 10.1016/j.lithos.2020.105437"
